Draw Date,1,2,3,4,5,Mega Ball,Megaplier
"Tue, Oct 17, 2017",49,70,56,31,45,11,5X
"Fri, Oct 13, 2017",31,7,26,2,18,12,2X
"Tue, Oct 10, 2017",16,7,61,62,24,2,5X
"Fri, Oct 06, 2017",33,56,21,45,36,12,5X
"Tue, Oct 03, 2017",25,18,19,12,67,7,5X
"Fri, Sep 29, 2017",62,73,74,51,25,7,5X
"Tue, Sep 26, 2017",10,66,1,75,57,4,4X
"Fri, Sep 22, 2017",63,39,54,5,66,15,5X
"Tue, Sep 19, 2017",9,61,50,28,31,10,2X
"Fri, Sep 15, 2017",38,34,18,58,24,3,4X
"Tue, Sep 12, 2017",37,65,26,54,41,3,4X
"Fri, Sep 08, 2017",4,73,14,26,5,14,2X
"Tue, Sep 05, 2017",17,59,70,11,72,1,3X
"Fri, Sep 01, 2017",64,13,4,50,31,12,5X
"Tue, Aug 29, 2017",17,73,2,13,35,3,3X
"Fri, Aug 25, 2017",65,51,38,42,17,11,5X
"Tue, Aug 22, 2017",51,24,46,35,50,7,4X
"Fri, Aug 18, 2017",31,40,1,75,34,6,3X
"Tue, Aug 15, 2017",7,20,16,73,66,7,2X
"Fri, Aug 11, 2017",56,23,58,33,53,6,5X
"Tue, Aug 08, 2017",11,17,50,52,74,14,2X
"Fri, Aug 04, 2017",25,17,71,9,63,4,5X
"Tue, Aug 01, 2017",52,20,22,57,73,7,5X
"Fri, Jul 28, 2017",4,31,6,49,52,11,3X
"Tue, Jul 25, 2017",58,5,60,26,2,6,3X
"Fri, Jul 21, 2017",18,31,50,36,74,10,4X
"Tue, Jul 18, 2017",73,51,8,23,12,6,4X
"Fri, Jul 14, 2017",73,24,12,11,32,1,4X
"Tue, Jul 11, 2017",55,74,7,24,18,10,2X
"Fri, Jul 07, 2017",60,28,9,11,2,10,5X
"Tue, Jul 04, 2017",53,16,39,71,47,15,4X
"Fri, Jun 30, 2017",10,55,51,38,64,6,5X
"Tue, Jun 27, 2017",4,57,21,45,52,14,4X
"Fri, Jun 23, 2017",20,12,66,74,53,11,2X
"Tue, Jun 20, 2017",63,41,2,49,15,3,3X
"Fri, Jun 16, 2017",18,26,44,30,22,9,5X
"Tue, Jun 13, 2017",62,51,75,68,27,8,3X
"Fri, Jun 09, 2017",33,37,16,3,28,9,5X
"Tue, Jun 06, 2017",49,75,16,3,5,5,3X
"Fri, Jun 02, 2017",72,7,57,42,69,10,3X
"Tue, May 30, 2017",32,37,20,5,67,5,5X
"Fri, May 26, 2017",56,26,28,25,37,5,3X
"Tue, May 23, 2017",33,6,17,60,13,14,2X
"Fri, May 19, 2017",5,24,4,30,1,1,3X
"Tue, May 16, 2017",56,35,4,72,39,11,5X
"Fri, May 12, 2017",42,47,28,34,41,13,4X
"Tue, May 09, 2017",6,45,73,69,29,11,5X
"Fri, May 05, 2017",47,23,53,33,4,7,4X
"Tue, May 02, 2017",43,42,5,58,14,1,4X
"Fri, Apr 28, 2017",18,6,13,20,31,13,4X
"Tue, Apr 25, 2017",3,50,13,40,33,2,4X
"Fri, Apr 21, 2017",1,12,32,34,13,10,2X
"Tue, Apr 18, 2017",64,29,8,43,30,6,3X
"Fri, Apr 14, 2017",73,5,10,60,55,12,5X
"Tue, Apr 11, 2017",34,38,35,49,19,8,5X
"Fri, Apr 07, 2017",43,69,33,47,30,15,5X
"Tue, Apr 04, 2017",35,24,13,34,55,9,5X
"Fri, Mar 31, 2017",32,27,58,17,24,10,3X
"Tue, Mar 28, 2017",35,30,46,37,33,10,5X
"Fri, Mar 24, 2017",37,69,61,28,5,1,5X
"Tue, Mar 21, 2017",45,4,53,75,73,7,3X
"Fri, Mar 17, 2017",58,31,11,27,60,10,4X
"Tue, Mar 14, 2017",16,59,33,28,23,13,3X
"Fri, Mar 10, 2017",38,42,70,26,58,5,5X
"Tue, Mar 07, 2017",30,68,3,53,45,11,3X
"Fri, Mar 03, 2017",48,14,26,51,39,9,5X
"Tue, Feb 28, 2017",33,69,58,45,20,4,2X
"Fri, Feb 24, 2017",68,29,12,42,33,14,3X
"Tue, Feb 21, 2017",32,75,30,21,9,9,5X
"Fri, Feb 17, 2017",67,4,75,56,58,8,5X
"Tue, Feb 14, 2017",7,11,68,60,33,15,5X
"Fri, Feb 10, 2017",32,39,51,62,75,14,5X
"Tue, Feb 07, 2017",28,37,23,71,56,12,5X
"Fri, Feb 03, 2017",3,30,6,64,29,3,5X
"Tue, Jan 31, 2017",3,27,14,72,62,4,3X
"Fri, Jan 27, 2017",61,53,54,17,37,8,3X
"Tue, Jan 24, 2017",54,67,42,63,8,11,4X
"Fri, Jan 20, 2017",41,24,7,53,9,14,3X
"Tue, Jan 17, 2017",20,54,59,31,56,3,5X
"Fri, Jan 13, 2017",74,58,10,44,75,11,3X
"Tue, Jan 10, 2017",41,11,40,59,20,15,5X
"Fri, Jan 06, 2017",10,47,54,6,44,6,5X
"Tue, Jan 03, 2017",49,16,14,23,53,12,2X
"Fri, Dec 30, 2016",6,43,33,39,21,2,2X
"Tue, Dec 27, 2016",30,2,39,28,38,11,4X
"Fri, Dec 23, 2016",60,69,39,30,21,15,5X
"Tue, Dec 20, 2016",12,48,65,1,14,2,5X
"Fri, Dec 16, 2016",1,43,36,15,8,6,5X
"Tue, Dec 13, 2016",41,34,2,26,15,14,5X
"Fri, Dec 09, 2016",47,68,19,27,67,1,5X
"Tue, Dec 06, 2016",13,34,48,53,63,12,4X
"Fri, Dec 02, 2016",49,3,51,33,35,1,2X
"Tue, Nov 29, 2016",51,33,49,59,22,8,4X
"Fri, Nov 25, 2016",69,44,75,47,49,10,3X
"Tue, Nov 22, 2016",45,69,1,66,43,7,5X
"Fri, Nov 18, 2016",31,32,49,55,58,15,5X
"Tue, Nov 15, 2016",23,57,71,9,17,6,3X
"Fri, Nov 11, 2016",40,16,53,59,47,11,5X
"Tue, Nov 08, 2016",48,74,46,53,61,12,4X
"Fri, Nov 04, 2016",29,32,10,46,44,10,3X
"Tue, Nov 01, 2016",39,19,31,24,45,13,2X
"Fri, Oct 28, 2016",38,66,7,46,57,2,5X
"Tue, Oct 25, 2016",24,49,67,9,8,13,3X
"Fri, Oct 21, 2016",44,48,12,43,66,3,4X
"Tue, Oct 18, 2016",24,7,74,28,65,1,2X
"Fri, Oct 14, 2016",64,74,27,60,7,5,3X
"Tue, Oct 11, 2016",42,45,39,48,36,3,2X
"Fri, Oct 07, 2016",42,65,37,50,24,14,2X
"Tue, Oct 04, 2016",54,30,29,66,18,1,5X
"Fri, Sep 30, 2016",50,21,57,47,30,9,5X
"Tue, Sep 27, 2016",16,53,72,14,26,4,4X
"Fri, Sep 23, 2016",8,62,5,1,25,14,3X
"Tue, Sep 20, 2016",2,62,34,22,72,2,5X
"Fri, Sep 16, 2016",40,34,13,21,28,15,3X
